code,title,description,skills,knowledge,tasks,bright_outlook,keyword
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",N/A,"Active Listening, Critical Thinking, Reading Comprehension, Judgment and Decision Making, Writing","Law and Government, English Language, Customer and Personal Service, Administrative, Medicine and Dentistry","Determine existence and amount of liability according to current laws, administrative and judicial precedents, and available evidence. | Monitor and direct the activities of trials and hearings to ensure that they are conducted fairly and that courts administer justice while safeguarding the legal rights of all involved parties. | Prepare written opinions and decisions. | Authorize payment of valid claims and determine method of payment.",False,business intelligence
11-3012.00,Administrative Services Managers,N/A,"Active Listening, Reading Comprehension, Time Management, Speaking, Coordination","Customer and Personal Service, Administration and Management, English Language, Administrative, Computers and Electronics","Prepare and review operational reports and schedules to ensure accuracy and efficiency. | Set goals and deadlines for the department. | Acquire, distribute and store supplies. | Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.",True,business intelligence
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",N/A,"Instructing, Active Listening, Learning Strategies, Reading Comprehension, Speaking","English Language, Education and Training, Customer and Personal Service, Administrative","Observe and evaluate students' work to determine progress and make suggestions for improvement. | Observe students to determine qualifications, limitations, abilities, interests, and other individual characteristics. | Establish clear objectives for all lessons, units, and projects and communicate those objectives to students. | Adapt teaching methods and instructional materials to meet students' varying needs, abilities, and interests.",False,business intelligence
13-2011.00,Accountants and Auditors,N/A,"Reading Comprehension, Active Listening, Critical Thinking, Speaking, Judgment and Decision Making","Economics and Accounting, English Language, Mathematics, Administration and Management, Customer and Personal Service","Prepare detailed reports on audit findings. | Report to management about asset utilization and audit results, and recommend changes in operations and financial activities. | Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies. | Inspect account books and accounting systems for efficiency, effectiveness, and use of accepted accounting procedures to record transactions.",True,AI engineer
27-2011.00,Actors,N/A,"Reading Comprehension, Speaking, Active Listening, Social Perceptiveness, Critical Thinking","Fine Arts, English Language, Communications and Media, Sociology and Anthropology, Psychology","Collaborate with other actors as part of an ensemble. | Portray and interpret roles, using speech, gestures, and body movements, to entertain, inform, or instruct radio, film, television, or live audiences. | Work closely with directors, other actors, and playwrights to find the interpretation most suited to the role. | Perform humorous and serious interpretations of emotions, actions, and situations, using body movements, facial expressions, and gestures.",False,AI engineer
15-2011.00,Actuaries,N/A,"Critical Thinking, Judgment and Decision Making, Mathematics, Reading Comprehension, Active Listening","Mathematics, Computers and Electronics, Economics and Accounting, English Language, Law and Government","Ascertain premium rates required and cash reserves and liabilities necessary to ensure payment of future benefits. | Collaborate with programmers, underwriters, accounts, claims experts, and senior management to help companies develop plans for new lines of business or improvements to existing business. | Analyze statistical information to estimate mortality, accident, sickness, disability, and retirement rates. | Design, review, and help administer insurance, annuity and pension plans, determining financial soundness and calculating premiums.",True,AI engineer
29-1291.00,Acupuncturists,N/A,"Active Listening, Critical Thinking, Service Orientation, Social Perceptiveness, Speaking","Customer and Personal Service, Medicine and Dentistry, Psychology, Biology, English Language","Maintain and follow standard quality, safety, environmental, and infection control policies and procedures. | Treat patients using tools, such as needles, cups, ear balls, seeds, pellets, or nutritional supplements. | Adhere to local, state, and federal laws, regulations, and statutes. | Identify correct anatomical and proportional point locations based on patients' anatomy and positions, contraindications, and precautions related to treatments, such as intradermal needles, moxibustion, electricity, guasha, or bleeding.",True,AI engineer
29-1141.01,Acute Care Nurses,N/A,"Critical Thinking, Reading Comprehension, Service Orientation, Speaking, Active Learning","Medicine and Dentistry, Customer and Personal Service, Education and Training, English Language, Psychology","Discuss illnesses and treatments with patients and family members. | Diagnose acute or chronic conditions that could result in rapid physiological deterioration or life-threatening instability. | Perform emergency medical procedures, such as basic cardiac life support (BLS), advanced cardiac life support (ACLS), and other condition-stabilizing interventions. | Assess urgent and emergent health conditions, using both physiologically and technologically derived data.",True,AI engineer
25-2059.01,Adapted Physical Education Specialists,N/A,"Instructing, Active Learning, Active Listening, Social Perceptiveness, Speaking","Education and Training, Psychology, English Language, Therapy and Counseling, Customer and Personal Service","Adapt instructional techniques to the age and skill levels of students. | Instruct students, using adapted physical education techniques, to improve physical fitness, gross motor skills, perceptual motor skills, or sports and game achievement. | Provide individual or small groups of students with adapted physical education instruction that meets desired physical needs or goals. | Provide students positive feedback to encourage them and help them develop an appreciation for physical education.",False,AI engineer
51-9191.00,Adhesive Bonding Machine Operators and Tenders,N/A,"Operation and Control, Operations Monitoring, Active Listening, Monitoring, Quality Control Analysis","Production and Processing, Mechanical, English Language","Align and position materials being joined to ensure accurate application of adhesive or heat sealing. | Adjust machine components according to specifications such as widths, lengths, and thickness of materials and amounts of glue, cement, or adhesive required. | Monitor machine operations to detect malfunctions and report or resolve problems. | Start machines, and turn valves or move controls to feed, admit, apply, or transfer materials and adhesives, and to adjust temperature, pressure, and time settings.",False,AI engineer
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",N/A,"Active Listening, Critical Thinking, Reading Comprehension, Judgment and Decision Making, Writing","Law and Government, English Language, Customer and Personal Service, Administrative, Medicine and Dentistry","Determine existence and amount of liability according to current laws, administrative and judicial precedents, and available evidence. | Monitor and direct the activities of trials and hearings to ensure that they are conducted fairly and that courts administer justice while safeguarding the legal rights of all involved parties. | Prepare written opinions and decisions. | Authorize payment of valid claims and determine method of payment.",False,AI engineer
11-3012.00,Administrative Services Managers,N/A,"Active Listening, Reading Comprehension, Time Management, Speaking, Coordination","Customer and Personal Service, Administration and Management, English Language, Administrative, Computers and Electronics","Prepare and review operational reports and schedules to ensure accuracy and efficiency. | Set goals and deadlines for the department. | Acquire, distribute and store supplies. | Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.",True,AI engineer
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",N/A,"Instructing, Active Listening, Learning Strategies, Reading Comprehension, Speaking","English Language, Education and Training, Customer and Personal Service, Administrative","Observe and evaluate students' work to determine progress and make suggestions for improvement. | Observe students to determine qualifications, limitations, abilities, interests, and other individual characteristics. | Establish clear objectives for all lessons, units, and projects and communicate those objectives to students. | Adapt teaching methods and instructional materials to meet students' varying needs, abilities, and interests.",False,AI engineer
13-2011.00,Accountants and Auditors,N/A,"Reading Comprehension, Active Listening, Critical Thinking, Speaking, Judgment and Decision Making","Economics and Accounting, English Language, Mathematics, Administration and Management, Customer and Personal Service","Prepare detailed reports on audit findings. | Report to management about asset utilization and audit results, and recommend changes in operations and financial activities. | Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies. | Inspect account books and accounting systems for efficiency, effectiveness, and use of accepted accounting procedures to record transactions.",True,analytics engineer
27-2011.00,Actors,N/A,"Reading Comprehension, Speaking, Active Listening, Social Perceptiveness, Critical Thinking","Fine Arts, English Language, Communications and Media, Sociology and Anthropology, Psychology","Collaborate with other actors as part of an ensemble. | Portray and interpret roles, using speech, gestures, and body movements, to entertain, inform, or instruct radio, film, television, or live audiences. | Work closely with directors, other actors, and playwrights to find the interpretation most suited to the role. | Perform humorous and serious interpretations of emotions, actions, and situations, using body movements, facial expressions, and gestures.",False,analytics engineer
15-2011.00,Actuaries,N/A,"Critical Thinking, Judgment and Decision Making, Mathematics, Reading Comprehension, Active Listening","Mathematics, Computers and Electronics, Economics and Accounting, English Language, Law and Government","Ascertain premium rates required and cash reserves and liabilities necessary to ensure payment of future benefits. | Collaborate with programmers, underwriters, accounts, claims experts, and senior management to help companies develop plans for new lines of business or improvements to existing business. | Analyze statistical information to estimate mortality, accident, sickness, disability, and retirement rates. | Design, review, and help administer insurance, annuity and pension plans, determining financial soundness and calculating premiums.",True,analytics engineer
29-1291.00,Acupuncturists,N/A,"Active Listening, Critical Thinking, Service Orientation, Social Perceptiveness, Speaking","Customer and Personal Service, Medicine and Dentistry, Psychology, Biology, English Language","Maintain and follow standard quality, safety, environmental, and infection control policies and procedures. | Treat patients using tools, such as needles, cups, ear balls, seeds, pellets, or nutritional supplements. | Adhere to local, state, and federal laws, regulations, and statutes. | Identify correct anatomical and proportional point locations based on patients' anatomy and positions, contraindications, and precautions related to treatments, such as intradermal needles, moxibustion, electricity, guasha, or bleeding.",True,analytics engineer
29-1141.01,Acute Care Nurses,N/A,"Critical Thinking, Reading Comprehension, Service Orientation, Speaking, Active Learning","Medicine and Dentistry, Customer and Personal Service, Education and Training, English Language, Psychology","Discuss illnesses and treatments with patients and family members. | Diagnose acute or chronic conditions that could result in rapid physiological deterioration or life-threatening instability. | Perform emergency medical procedures, such as basic cardiac life support (BLS), advanced cardiac life support (ACLS), and other condition-stabilizing interventions. | Assess urgent and emergent health conditions, using both physiologically and technologically derived data.",True,analytics engineer
25-2059.01,Adapted Physical Education Specialists,N/A,"Instructing, Active Learning, Active Listening, Social Perceptiveness, Speaking","Education and Training, Psychology, English Language, Therapy and Counseling, Customer and Personal Service","Adapt instructional techniques to the age and skill levels of students. | Instruct students, using adapted physical education techniques, to improve physical fitness, gross motor skills, perceptual motor skills, or sports and game achievement. | Provide individual or small groups of students with adapted physical education instruction that meets desired physical needs or goals. | Provide students positive feedback to encourage them and help them develop an appreciation for physical education.",False,analytics engineer
51-9191.00,Adhesive Bonding Machine Operators and Tenders,N/A,"Operation and Control, Operations Monitoring, Active Listening, Monitoring, Quality Control Analysis","Production and Processing, Mechanical, English Language","Align and position materials being joined to ensure accurate application of adhesive or heat sealing. | Adjust machine components according to specifications such as widths, lengths, and thickness of materials and amounts of glue, cement, or adhesive required. | Monitor machine operations to detect malfunctions and report or resolve problems. | Start machines, and turn valves or move controls to feed, admit, apply, or transfer materials and adhesives, and to adjust temperature, pressure, and time settings.",False,analytics engineer
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",N/A,"Active Listening, Critical Thinking, Reading Comprehension, Judgment and Decision Making, Writing","Law and Government, English Language, Customer and Personal Service, Administrative, Medicine and Dentistry","Determine existence and amount of liability according to current laws, administrative and judicial precedents, and available evidence. | Monitor and direct the activities of trials and hearings to ensure that they are conducted fairly and that courts administer justice while safeguarding the legal rights of all involved parties. | Prepare written opinions and decisions. | Authorize payment of valid claims and determine method of payment.",False,analytics engineer
11-3012.00,Administrative Services Managers,N/A,"Active Listening, Reading Comprehension, Time Management, Speaking, Coordination","Customer and Personal Service, Administration and Management, English Language, Administrative, Computers and Electronics","Prepare and review operational reports and schedules to ensure accuracy and efficiency. | Set goals and deadlines for the department. | Acquire, distribute and store supplies. | Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.",True,analytics engineer
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",N/A,"Instructing, Active Listening, Learning Strategies, Reading Comprehension, Speaking","English Language, Education and Training, Customer and Personal Service, Administrative","Observe and evaluate students' work to determine progress and make suggestions for improvement. | Observe students to determine qualifications, limitations, abilities, interests, and other individual characteristics. | Establish clear objectives for all lessons, units, and projects and communicate those objectives to students. | Adapt teaching methods and instructional materials to meet students' varying needs, abilities, and interests.",False,analytics engineer
